author,content,stat_time,thumbs_up
银行门口的雪人,"为了减肥，我加入了某登山群一年有余。昨天我们群里组织一起去爬了仙姑顶。,上了山顶，群主从包里取出了折叠桌椅，我们几个人开打后围桌而坐。,群主那美丽的妹妹还用保温杯里的热水给我们每人冲了一杯咖啡，大家看着周围的风景，有说有笑，很是热闹。,这时群主突然问了一大家爬山以后都廋了多少？杰子说他原来180斤，现在160，瘦了20斤，青松原来168斤，现在150，瘦了18斤。,轮到我时，我却犯了难，其实我虽然每次爬山从不缺席，但是晚上却吃得多，所以没瘦反倒胖了些。,在群主的妹妹面前，我怕丢人于是就硬着头皮胡诌；“我原来178斤，现在160斤，我也瘦了18斤。”,群主的妹妹疑惑的看了我一眼说：“真的，假的，你只有160斤？”我心虚的回答：“真的……”,话音刚落，腚下的折叠椅“垮几”一声被我坐塌了，变成了水平面。在大家惊讶中，群主幽幽的说：“这个折椅我问过店主，承重不低于90公斤，看来你可远不止160啊！”,众人哄然大笑，我摸着摔痛的屁股，尴尬无比加无比尴尬。。。","
2020-09-13 11:52
",744
夏有凉风秋望月,"上司有天问我：如果我们部裁员的话，你觉得按什么方式最好。,我想着这种问题最好慎重：我觉得我说的不算，听大家意见最好。,上司笑着说：大家觉得谁最漂亮谁最爱上班化妆先辞退的方式如何？,我。。。这。。。居然无言以对。。。,然后华丽丽的我接到辞退通知单和赔偿单。。。","
2020-09-15 17:08
",1116
正版煮茶,我儿子上学以来，平均一天掉一到两个口罩，于是我出了个主意，把口罩的绳缝在他帽子上，果然第二天，他帽子丢了。,"
2020-09-15 08:02
",1263
狐小乔,"侄子在学校和同学打架，被请家长。侄子不敢告诉哥和嫂子，给我50块让我去。,老师办公室，见过那名学生的家长，竟然是我的老同学，当年我们是“死对头”。,我们虚心地接受了老师的批评，一团和气地告别老师。出了学校的大门，我们忆起当年上学时打架的情景，每次都是我打他，越说越生气，然后我们就在学校外，又打了一架。经过这么多年的“修炼”，他仍然打不过我……","
2020-09-09 13:10
",1288
胖香,"我表弟结婚，司仪挺能整气氛，抢手捧花的时候让孩子们都上场去热闹，我闺女也去了，个子小排前面，新娘扔的不远，整好就被我闺女捞怀里了……,司仪拉着我闺女，问她跟新郎啥关系，也是怪我，娃没见过我表弟，我也没交代，我正着急呢，人家在台上开始了:“是我的帅哥哥，祝我哥哥和美丽的嫂子幸福美满早生贵子！”","
2020-07-30 12:15
",1058
小恩的老公8,"晚上做了个梦，梦见有人要害我，准备开门，惊醒……,随后现实里突然听到有人开门的声音，卧槽！和梦境一个样！我马上随手拿了把椅子躲在门后。门开了，原来是媳妇走了进来，回头看到我，问我干啥呢？发啥疯呢？想暗算她吗？……,我一边举着椅子一边笑着说，练举重呢！……","
2020-09-15 08:26
",1307
空城旧梦她与伞,"有些事，真得是命中注定的！！,我一岁生日的时候，村里有个同年同月同日生的女孩子，两家一起抓周。,那女孩子一把抓住了计算器，村民们都说，长大后，肯定是个理财能手。,大家都好奇我会抓什么，我是一把紧紧的抓住了那女孩子的手。,二十多年后，当年的那个女孩子，收走了我的工资卡，管着我家里的开支，每个月只给我一百块零花钱……","
2020-09-15 07:34
",1940
净心居士,"在去丈母娘家的途中，为了让胖丫有适应各种突发事件的能力，明白社会的险恶。我把她留在半路，我一个人开车先去了丈母娘家,在丈母娘家，有老人的庇护，胖丫没敢把我怎么样。在回家的路上她突然说:老公，家里的洗衣机好像坏了，不能用了，你买一个回家吧！,我奇怪的说:那天出门也没坏鸭，今天怎么就坏了？还要买一个？,胖丫淡定的说:不信你去问我婆婆妈，是不是坏了，要不要买一个搓衣板回家。。。,听完这句话我绝望了，因为我妈和胖丫是一个鼻孔出气的[捂脸][捂脸][捂脸] 肯定支持胖丫买搓衣板来教训我。","
2020-07-29 12:53
",1286
糗糗queen,今天就是中元节了，一同事问我们怕不怕，只听见一妹子喊道，过中元节不怕，老子怕的是还剩160多天就过春节了！,"
2020-09-02 07:07
",1298
老巫婆～～,"最近沉迷玩石头剪刀布大作战。,昨天和Boss去见一客户，去之前Boss再三叮嘱“巫婆啊，这个大客户脾气古怪的很，好几家竞争对手订单都没有签成。一会见了面你可一定要注重礼节。”,见面后，客户礼貌的说了声你好后伸出手想握手，当时我脑子不知道哪根筋搭错了，竟然做出了剪刀的手势。Boss在旁边看的目瞪口呆……,谁知道客户竟呵呵一乐“这姑娘幽默啊”，之后的气氛出乎意料的融洽。,这笔订单就这么签成了，成了……","
2020-09-14 07:11
",1335
